(239, 57) -> {'timestamp': 1744266959.6050158, 'position': {'x': 239, 'y': 57}, 'accelerometer': {'x': 0.12, 'y': 0.14, 'z': 0.49}, 'battery_level': 70, 'communication_status': 'Active', 'recharging': True, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': True}}
(173, 12) -> {'timestamp': 1744267939.3961864, 'position': {'x': 175, 'y': 12}, 'accelerometer': {'x': -0.05, 'y': -0.09, 'z': 0.33}, 'battery_level': 38, 'communication_status': 'Active', 'recharging': True, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': True}}
(178, 9) -> {'timestamp': 1744267943.9605167, 'position': {'x': 178, 'y': 8}, 'accelerometer': {'x': 0.15, 'y': 0.11, 'z': -0.16}, 'battery_level': 31, 'communication_status': 'Active', 'recharging': True, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': False}}
(178, 2) -> {'timestamp': 1744267948.2636137, 'position': {'x': 178, 'y': 0}, 'accelerometer': {'x': -0.04, 'y': 0.15, 'z': 0.39}, 'battery_level': 23, 'communication_status': 'Active', 'recharging': True, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': True}}
(178, -9) -> {'timestamp': 1744267952.2202375, 'position': {'x': 178, 'y': -12}, 'accelerometer': {'x': -0.1, 'y': 0.07, 'z': -0.43}, 'battery_level': 11, 'communication_status': 'Active', 'recharging': True, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': False}}
(178, -21) -> {'timestamp': 1744267956.3743339, 'position': {'x': 178, 'y': -23}, 'accelerometer': {'x': -0.13, 'y': 0.19, 'z': -0.49}, 'battery_level': 0, 'communication_status': 'Intermittent', 'recharging': False, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': False}}
(137, 135) -> {'timestamp': 1744268063.9653325, 'position': {'x': 137, 'y': 135}, 'accelerometer': {'x': 0.12, 'y': 0.06, 'z': -0.08}, 'battery_level': 60, 'communication_status': 'Active', 'recharging': True, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': True}}
(137, 138) -> {'timestamp': 1744268068.59391, 'position': {'x': 137, 'y': 139}, 'accelerometer': {'x': -0.08, 'y': -0.02, 'z': 0.24}, 'battery_level': 56, 'communication_status': 'Active', 'recharging': True, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': True}}
(140, 140) -> {'timestamp': 1744268073.3976963, 'position': {'x': 141, 'y': 140}, 'accelerometer': {'x': 0.15, 'y': 0.06, 'z': -0.23}, 'battery_level': 51, 'communication_status': 'Active', 'recharging': True, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': True}}
(49, 121) -> {'timestamp': 1744268886.6745937, 'position': {'x': 49, 'y': 121}, 'accelerometer': {'x': 0.16, 'y': 0.17, 'z': -0.37}, 'battery_level': 70, 'communication_status': 'Active', 'recharging': True, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': False}}
(5, 120) -> {'timestamp': 1744268916.9908764, 'position': {'x': 5, 'y': 120}, 'accelerometer': {'x': -0.11, 'y': -0.2, 'z': -0.26}, 'battery_level': 97, 'communication_status': 'Active', 'recharging': False, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': True}}
(5, 145) -> {'timestamp': 1744268944.0475314, 'position': {'x': 5, 'y': 146}, 'accelerometer': {'x': -0.03, 'y': -0.03, 'z': -0.07}, 'battery_level': 71, 'communication_status': 'Active', 'recharging': True, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': True}}
(5, 146) -> {'timestamp': 1744268945.5505514, 'position': {'x': 5, 'y': 148}, 'accelerometer': {'x': 0.15, 'y': -0.06, 'z': 0.33}, 'battery_level': 69, 'communication_status': 'Active', 'recharging': True, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': True}}
(24, 69) -> {'timestamp': 1744268970.5240924, 'position': {'x': 24, 'y': 69}, 'accelerometer': {'x': 0.19, 'y': -0.05, 'z': 0.03}, 'battery_level': 89, 'communication_status': 'Active', 'recharging': False, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': True}}
(82, 70) -> {'timestamp': 1744269013.1004012, 'position': {'x': 82, 'y': 70}, 'accelerometer': {'x': 0.04, 'y': 0.15, 'z': 0.31}, 'battery_level': 80, 'communication_status': 'Active', 'recharging': False, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': True}}
(18, 48) -> {'timestamp': 1744269153.9602396, 'position': {'x': 18, 'y': 48}, 'accelerometer': {'x': -0.11, 'y': 0.01, 'z': -0.08}, 'battery_level': 87, 'communication_status': 'Active', 'recharging': False, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': True}}
